alternative,score,Region,PLS,System,method,profile,rank
Lodwar_PLS95_PV+battery,0.9815404197194296,Lodwar,95,PV+battery,topsis,sustainable,1
Lodwar_PLS95_PV+battery,0.9815404197194296,Lodwar,95,PV+battery,topsis,sustainable,2
Lodwar_PLS95_PV+battery,0.9815404197194296,Lodwar,95,PV+battery,topsis,sustainable,3
Lodwar_PLS95_PV+battery,0.9815404197194296,Lodwar,95,PV+battery,topsis,sustainable,4
Lodwar_PLS95_PV+battery,0.9815404197194296,Lodwar,95,PV+battery,topsis,sustainable,5
Lodwar_PLS95_PV+battery,0.9815404197194296,Lodwar,95,PV+battery,topsis,sustainable,6
Lodwar_PLS95_PV+battery,0.9815404197194296,Lodwar,95,PV+battery,topsis,sustainable,7
Lodwar_PLS95_PV+battery,0.9815404197194296,Lodwar,95,PV+battery,topsis,sustainable,8
Lodwar_PLS95_PV+battery,0.9815404197194296,Lodwar,95,PV+battery,topsis,sustainable,9
Lodwar_PLS90_PV+battery,0.9763822822827336,Lodwar,90,PV+battery,topsis,sustainable,10
Lodwar_PLS90_PV+battery,0.9763822822827336,Lodwar,90,PV+battery,topsis,sustainable,11
Lodwar_PLS90_PV+battery,0.9763822822827336,Lodwar,90,PV+battery,topsis,sustainable,12
Lodwar_PLS90_PV+battery,0.9763822822827336,Lodwar,90,PV+battery,topsis,sustainable,13
Lodwar_PLS90_PV+battery,0.9763822822827336,Lodwar,90,PV+battery,topsis,sustainable,14
Lodwar_PLS90_PV+battery,0.9763822822827336,Lodwar,90,PV+battery,topsis,sustainable,15
Lodwar_PLS90_PV+battery,0.9763822822827336,Lodwar,90,PV+battery,topsis,sustainable,16
Lodwar_PLS90_PV+battery,0.9763822822827336,Lodwar,90,PV+battery,topsis,sustainable,17
Lodwar_PLS90_PV+battery,0.9763822822827336,Lodwar,90,PV+battery,topsis,sustainable,18
Lodwar_PLS95_PV+battery+diesel,0.9740266142551914,Lodwar,95,PV+battery+diesel,topsis,sustainable,19
Accra_PLS95_PV+battery,0.9719967033563783,Accra,95,PV+battery,topsis,sustainable,20
Accra_PLS95_PV+battery,0.9719967033563783,Accra,95,PV+battery,topsis,sustainable,21
Accra_PLS95_PV+battery,0.9719967033563783,Accra,95,PV+battery,topsis,sustainable,22
Accra_PLS95_PV+battery,0.9719967033563783,Accra,95,PV+battery,topsis,sustainable,23
Accra_PLS95_PV+battery,0.9719967033563783,Accra,95,PV+battery,topsis,sustainable,24
Accra_PLS95_PV+battery,0.9719967033563783,Accra,95,PV+battery,topsis,sustainable,25
Accra_PLS95_PV+battery,0.9719967033563783,Accra,95,PV+battery,topsis,sustainable,26
Accra_PLS95_PV+battery,0.9719967033563783,Accra,95,PV+battery,topsis,sustainable,27
Accra_PLS95_PV+battery,0.9719967033563783,Accra,95,PV+battery,topsis,sustainable,28
Lodwar_PLS90_PV+battery+diesel,0.971928835164885,Lodwar,90,PV+battery+diesel,topsis,sustainable,29
Lodwar_PLS90_PV+battery+diesel,0.9709853968235269,Lodwar,90,PV+battery+diesel,topsis,sustainable,30
Lodwar_PLS90_PV+battery+diesel,0.9709853968235269,Lodwar,90,PV+battery+diesel,topsis,sustainable,31
Accra_PLS90_PV+battery,0.9696415145767344,Accra,90,PV+battery,topsis,sustainable,32
Accra_PLS90_PV+battery,0.9696415145767344,Accra,90,PV+battery,topsis,sustainable,33
Accra_PLS90_PV+battery,0.9696415145767344,Accra,90,PV+battery,topsis,sustainable,34
