alternative,score,Region,PLS,System,method,profile,rank
Lodwar_PLS100_PV+battery,0.9999991777509369,Lodwar,100,PV+battery,fuzzy_topsis,sustainable,1
Lodwar_PLS100_PV+battery,0.9999991777509369,Lodwar,100,PV+battery,fuzzy_topsis,sustainable,2
Lodwar_PLS100_PV+battery,0.9999991777509369,Lodwar,100,PV+battery,fuzzy_topsis,sustainable,3
Lodwar_PLS100_PV+battery,0.9999991777509369,Lodwar,100,PV+battery,fuzzy_topsis,sustainable,4
Lodwar_PLS100_PV+battery,0.9999991777509369,Lodwar,100,PV+battery,fuzzy_topsis,sustainable,5
Lodwar_PLS100_PV+battery,0.9999991777509369,Lodwar,100,PV+battery,fuzzy_topsis,sustainable,6
Lodwar_PLS100_PV+battery,0.9999991777509369,Lodwar,100,PV+battery,fuzzy_topsis,sustainable,7
Lodwar_PLS100_PV+battery,0.9999991777509369,Lodwar,100,PV+battery,fuzzy_topsis,sustainable,8
Lodwar_PLS100_PV+battery,0.9999991777509369,Lodwar,100,PV+battery,fuzzy_topsis,sustainable,9
Accra_PLS100_PV+battery,0.9999991454234711,Accra,100,PV+battery,fuzzy_topsis,sustainable,10
Accra_PLS100_PV+battery,0.9999991454234711,Accra,100,PV+battery,fuzzy_topsis,sustainable,11
Accra_PLS100_PV+battery,0.9999991454234711,Accra,100,PV+battery,fuzzy_topsis,sustainable,12
Accra_PLS100_PV+battery,0.9999991454234711,Accra,100,PV+battery,fuzzy_topsis,sustainable,13
Accra_PLS100_PV+battery,0.9999991454234711,Accra,100,PV+battery,fuzzy_topsis,sustainable,14
Accra_PLS100_PV+battery,0.9999991454234711,Accra,100,PV+battery,fuzzy_topsis,sustainable,15
Accra_PLS100_PV+battery,0.9999991454234711,Accra,100,PV+battery,fuzzy_topsis,sustainable,16
Accra_PLS100_PV+battery,0.9999991454234711,Accra,100,PV+battery,fuzzy_topsis,sustainable,17
Accra_PLS100_PV+battery,0.9999991454234711,Accra,100,PV+battery,fuzzy_topsis,sustainable,18
Lodwar_PLS100_PV+battery,0.999998752641513,Lodwar,100,PV+battery,fuzzy_topsis,sustainable,19
Lodwar_PLS100_PV+battery,0.999998752641513,Lodwar,100,PV+battery,fuzzy_topsis,sustainable,20
Lodwar_PLS100_PV+battery,0.999998752641513,Lodwar,100,PV+battery,fuzzy_topsis,sustainable,21
Lodwar_PLS100_PV+battery,0.999998752641513,Lodwar,100,PV+battery,fuzzy_topsis,sustainable,22
Lodwar_PLS100_PV+battery,0.999998752641513,Lodwar,100,PV+battery,fuzzy_topsis,sustainable,23
Lodwar_PLS100_PV+battery,0.999998752641513,Lodwar,100,PV+battery,fuzzy_topsis,sustainable,24
Lodwar_PLS100_PV+battery,0.999998752641513,Lodwar,100,PV+battery,fuzzy_topsis,sustainable,25
Lodwar_PLS100_PV+battery,0.999998752641513,Lodwar,100,PV+battery,fuzzy_topsis,sustainable,26
Lodwar_PLS100_PV+battery,0.999998752641513,Lodwar,100,PV+battery,fuzzy_topsis,sustainable,27
Accra_PLS100_PV+battery,0.9999987235509284,Accra,100,PV+battery,fuzzy_topsis,sustainable,28
Accra_PLS100_PV+battery,0.9999987235509284,Accra,100,PV+battery,fuzzy_topsis,sustainable,29
Accra_PLS100_PV+battery,0.9999987235509284,Accra,100,PV+battery,fuzzy_topsis,sustainable,30
Accra_PLS100_PV+battery,0.9999987235509284,Accra,100,PV+battery,fuzzy_topsis,sustainable,31
Accra_PLS100_PV+battery,0.9999987235509284,Accra,100,PV+battery,fuzzy_topsis,sustainable,32
Accra_PLS100_PV+battery,0.9999987235509284,Accra,100,PV+battery,fuzzy_topsis,sustainable,33
Accra_PLS100_PV+battery,0.9999987235509284,Accra,100,PV+battery,fuzzy_topsis,sustainable,34
Accra_PLS100_PV+battery,0.9999987235509284,Accra,100,PV+battery,fuzzy_topsis,sustainable,35
Accra_PLS100_PV+battery,0.9999987235509284,Accra,100,PV+battery,fuzzy_topsis,sustainable,36
Lodwar_PLS100_PV+battery,0.9999986969504536,Lodwar,100,PV+battery,fuzzy_topsis,sustainable,37
Lodwar_PLS100_PV+battery,0.9999986969504536,Lodwar,100,PV+battery,fuzzy_topsis,sustainable,38
Lodwar_PLS100_PV+battery,0.9999986969504536,Lodwar,100,PV+battery,fuzzy_topsis,sustainable,39
Lodwar_PLS100_PV+battery,0.9999986969504536,Lodwar,100,PV+battery,fuzzy_topsis,sustainable,40
Lodwar_PLS100_PV+battery,0.9999986969504536,Lodwar,100,PV+battery,fuzzy_topsis,sustainable,41
Lodwar_PLS100_PV+battery,0.9999986969504536,Lodwar,100,PV+battery,fuzzy_topsis,sustainable,42
Lodwar_PLS100_PV+battery,0.9999986969504536,Lodwar,100,PV+battery,fuzzy_topsis,sustainable,43
Lodwar_PLS100_PV+battery,0.9999986969504536,Lodwar,100,PV+battery,fuzzy_topsis,sustainable,44
Lodwar_PLS100_PV+battery,0.9999986969504536,Lodwar,100,PV+battery,fuzzy_topsis,sustainable,45
Lodwar_PLS100_PV+battery,0.9999986821802779,Lodwar,100,PV+battery,fuzzy_topsis,sustainable,46
Lodwar_PLS100_PV+battery,0.9999986821802779,Lodwar,100,PV+battery,fuzzy_topsis,sustainable,47
Lodwar_PLS100_PV+battery,0.9999986821802779,Lodwar,100,PV+battery,fuzzy_topsis,sustainable,48
Lodwar_PLS100_PV+battery,0.9999986821802779,Lodwar,100,PV+battery,fuzzy_topsis,sustainable,49
Lodwar_PLS100_PV+battery,0.9999986821802779,Lodwar,100,PV+battery,fuzzy_topsis,sustainable,50
Lodwar_PLS100_PV+battery,0.9999986821802779,Lodwar,100,PV+battery,fuzzy_topsis,sustainable,51
Lodwar_PLS100_PV+battery,0.9999986821802779,Lodwar,100,PV+battery,fuzzy_topsis,sustainable,52
Lodwar_PLS100_PV+battery,0.9999986821802779,Lodwar,100,PV+battery,fuzzy_topsis,sustainable,53
Lodwar_PLS100_PV+battery,0.9999986821802779,Lodwar,100,PV+battery,fuzzy_topsis,sustainable,54
Accra_PLS100_PV+battery,0.9999986709191206,Accra,100,PV+battery,fuzzy_topsis,sustainable,55
Accra_PLS100_PV+battery,0.9999986709191206,Accra,100,PV+battery,fuzzy_topsis,sustainable,56
Accra_PLS100_PV+battery,0.9999986709191206,Accra,100,PV+battery,fuzzy_topsis,sustainable,57
Accra_PLS100_PV+battery,0.9999986709191206,Accra,100,PV+battery,fuzzy_topsis,sustainable,58
